Year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Forecast,,,,,1.3%,1.4%,1.9%,2.0%,2.0%,2.0%,2.0%,2.0%,2.0%,2.0%
Actual,1.1%,1.9%,1.8%,1.5%,1.4%,1.2%,1.8%,1.6%,2.0%,1.6%,1.5%,4.9%,5.2%,3.2%
Absolute Error,,,,,0.1%,0.2%,0.1%,0.4%,0.0%,0.4%,0.5%,2.9%,3.2%,1.2%
