Date,2016,2017,2018,2019,2020,2021,2022,2023,2024
Actual,3.1,3,3.24,3.3,3.33,3.45,3.9,4.2,4.17
Forecast,3.8,3.13,3.3,3.4,3.4,3.48,3.8,4.3,4.3
